solve_id,solver,solve_time,pll,pll_time,Split,STM,STPS,ETM,ETPS
12760,Dylan Miller,4.83,U R U R' U R' U' R2 U' R' U R' U R U,0.86,17.8%,15,17.44,15,17.44
12759,Dylan Miller,5.92,R2' U R U R' U' R3 U' R' U R',0.92,15.5%,11,11.96,11,11.96
12758,Dylan Miller,5.00,R U R' F' R U R' U' R' F R2 U' R',0.87,17.4%,13,14.94,13,14.94
12757,Dylan Miller,4.64,R' U2 R' D' R U' R' D R U R U' R' U' R,1.34,28.9%,15,11.19,15,11.19
12756,Dylan Miller,5.16,,0.00,0.0%,0,n/a,0,n/a
12755,Dylan Miller,4.65,U R U R' F' R U R' U' R' F R2 U' R' U,0.98,21.1%,15,15.31,15,15.31
12754,Dylan Miller,5.74,U2' x R' U R' D2 R U' R' D2 R2 x' U',1.57,27.4%,11,7.01,13,8.28
12753,Dylan Miller,5.38,U R U' R' U' R U R' U R' D' R U' R' D R2 U R' U,1.31,24.3%,19,14.50,19,14.50
12752,Dylan Miller,5.44,R2 U R' U R' U' R U' R2 D U' R' U R D' U,1.41,25.9%,16,11.35,16,11.35
12751,Dylan Miller,7.08,U2' R' U R U' R' F' U' R R' F R U R' F R' F' R U' R,2.18,30.8%,20,9.17,20,9.17
12750,Dylan Miller,5.20,U R U R' U R' U' R2 U' R' U R' U R U2',1.03,19.8%,15,14.56,15,14.56
12749,Dylan Miller,5.16,,0.56,10.9%,1,1.79,1,1.79
12743,Yiheng Wang,3.40,U R U R' F' R U R' U' R' R R' F R2 U' R' U2,1.07,31.5%,17,15.89,17,15.89
12721,Max Park,4.96,U' R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U',1.29,26.0%,20,15.50,20,15.50
12720,Max Park,5.26,R' U U R U' U' R' F R U R' U' R' F' R2 U',1.46,27.8%,16,10.96,16,10.96
12719,Max Park,4.50,R U R' F' R U R' U' R' F R2 U' R' U2,1.20,26.7%,14,11.67,14,11.67
12718,Max Park,5.84,u' R U R' U' D R2 U' R U' R' U R' U R2 U' U',1.47,25.2%,17,11.56,17,11.56
12711,Timofei Tarasenko,4.93,R U R' F' R U R' U' R' F R2 U' R' U,1.11,22.5%,14,12.61,14,12.61
12710,Timofei Tarasenko,5.33,R U R' U' D R2 U' R U' R' U R' U R2 U' U' D',1.71,32.1%,17,9.94,17,9.94
12709,Timofei Tarasenko,5.33,U' R U R' F' R U2 R' U2' R' F R U R U2' R' U',1.68,31.5%,17,10.12,17,10.12
12708,Timofei Tarasenko,5.10,U R' U' R U D' R2 U R' U R U' R U' R2' D U' U',1.57,30.8%,18,11.46,18,11.46
12707,Timofei Tarasenko,5.62,U R' D2' R U' R' D2' R2 x' U',0.94,16.7%,9,9.57,10,10.64
12682,Yiheng Wang,3.99,U' x' R2 D2 R' U' R D2 R' U R' x U,1.22,30.6%,11,9.02,13,10.66
12681,Yiheng Wang,5.62,U' D' R U R' U' D R2 U' R U' R' U R' U R2 U2',1.62,28.8%,17,10.49,17,10.49
12680,Yiheng Wang,3.89,x' R2 D2 R' U' R D2 R' U R',1.02,26.2%,9,8.82,10,9.80
12679,Yiheng Wang,4.73,R2' F2 R U2 R U2' R' F R U R' U' R' F R2 U',1.63,34.5%,16,9.82,16,9.82
12678,Yiheng Wang,4.39,U U2' R' U2' R U2' R' F R U R' U' R' F' R2 U,n/a,n/a,16,n/a,16,n/a
12677,Yiheng Wang,3.97,U D' R2 U R' U R' U' R U' R2 U' D R' U R U,1.77,44.6%,17,9.60,17,9.60
12676,Yiheng Wang,4.89,U' R U R' F' R U R' U' R' F R2 U' R',0.92,18.8%,14,15.22,14,15.22
12675,Yiheng Wang,4.51,U2 x R2' D2 R U R' D2 R U' R x' U,1.21,26.8%,11,9.09,13,10.74
12674,Yiheng Wang,4.06,U' R' U2' R U2' R' F R U R' U' R' F' R2 U',1.06,26.1%,15,14.15,15,14.15
12673,Yiheng Wang,3.83,R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R,1.06,27.7%,18,16.98,18,16.98
12672,Yiheng Wang,3.87,F R U' R' U' R U R' F' R U R' U' R' F R F' U2,1.14,29.5%,18,15.79,18,15.79
12671,Yiheng Wang,4.53,,1.36,30.0%,2,1.47,4,2.94
12670,Yiheng Wang,4.44,U R U' R' U' R U R D R' U' R D' R' U2 R' U',0.94,21.2%,17,18.09,17,18.09
12649,Teodor Zajder,3.70,,0.00,0.0%,0,n/a,0,n/a
12647,Viraj Dhameja,6.81,x' R U' R' D R U R' D' R U R' D R U' R' D' F',n/a,n/a,17,n/a,18,n/a
12646,Viraj Dhameja,5.33,,n/a,n/a,0,n/a,0,n/a
12645,Viraj Dhameja,5.14,R U R' U R' U' R2 U' R' U R' U R U2',n/a,n/a,14,n/a,14,n/a
12644,Viraj Dhameja,6.74,U x' R U' R' D R U R' D' R U R' D R U' R' D',n/a,n/a,17,n/a,18,n/a
12643,Viraj Dhameja,7.02,U' R U R' U' D R2 U' R U' R' U R' U R2 D',n/a,n/a,16,n/a,16,n/a
12637,Yiheng Wang,3.64,U' x' R U' R D2 R' U R D2 R2',1.21,33.2%,10,8.26,11,9.09
12636,Matty Hiroto Inaba,3.64,M2' U M2' U2 M2' U M2',0.87,23.9%,7,8.05,7,8.05
12635,Yiheng Wang,3.76,R' U2' R U2' R' F R U R' U' R' F' R2 U2',1.29,34.3%,14,10.85,14,10.85
12633,Yufang Du,3.94,U' U2' R U R' F' R U R' U' R' F R2 U' R' U,1.44,36.5%,16,11.11,16,11.11
12632,Zhen Chen,3.91,,0.14,3.6%,1,7.14,1,7.14
