solve_id,solver,solve_time,pll,pll_time,Split,STM,STPS,ETM,ETPS,Solver_count,U,U2,L,L2,F,F2,R,R2,B,B2,D,D2,simul,ghost_move
12627,Yiheng Wang,3.93,U2' R U R' U' R' F R2 U' R' U' R U R' F',-1.2620457956567386,18.6%,15,20.55,15,20.55,202,5,1,0,0,2,0,6,1,0,0,0,0,0,0
12626,Yiheng Wang,3.94,U R' U' R U D' R2 U R' U R U' R U' R2' D U,-0.506314815253593,23.9%,17,18.09,17,18.09,202,8,0,0,0,0,0,5,2,0,0,2,0,2,0
12624,Yiheng Wang,3.78,U R U' R' U' R U R D R' U' R D' R' U2 R' U',-0.9741482793126828,21.4%,17,20.99,17,20.99,202,6,1,0,0,0,0,8,0,0,0,2,0,0,0
12620,Yiheng Wang,3.78,U R2' F2 R U2 R U2' R' F R U R' U' R' F R2 U,0.717249629208643,33.9%,17,13.28,17,13.28,202,4,2,0,0,2,1,6,2,0,0,0,0,0,0
12575,Luke Garrett,4.26,U R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U2',-0.6006420475231502,26.5%,20,17.7,20,17.7,62,8,1,0,0,2,0,8,1,0,0,0,0,0,0
12563,Yiheng Wang,3.23,x R' D2 R U R' D2 R U' R x' U,-0.5423020047965996,28.8%,10,10.75,12,12.9,202,3,0,0,0,0,0,5,0,0,0,0,2,0,0
12561,Yiheng Wang,3.62,U' R U R' U R' U' R2 U' R' U R' U R U',-1.1900714165707247,20.7%,15,20.0,15,20.0,202,8,0,0,0,0,0,6,1,0,0,0,0,0,2
12560,Yiheng Wang,3.77,U2 R U R' F' R U R' U' R' F R2 U' R' U2,-1.0101354688556898,21.2%,15,18.75,15,18.75,202,4,2,0,0,2,0,6,1,0,0,0,0,0,0
12559,Yiheng Wang,3.78,U' R U R' F' R U R' U' R' R R' F R2 U' R' U2,0.10546740697752537,29.4%,17,15.32,17,15.32,202,5,1,0,0,2,0,8,1,0,0,0,0,0,0
12558,Yiheng Wang,3.08,x R' U R' D2 R U' R' D2 R2,-1.1900714165707247,24.4%,9,12.0,10,13.33,202,2,0,0,0,0,0,4,1,0,0,0,2,0,1
12550,Yiheng Wang,4.2,R U R' F' R U R' U' R' F R2 U' R' U2 R U' R' U,-0.9021739002266692,19.8%,18,21.69,18,21.69,202,6,1,0,0,2,0,8,1,0,0,0,0,0,0
12549,Yiheng Wang,3.65,U2 L' U' L F L' U' L U L F' L2' U L,-0.8301995211406553,23.3%,14,16.47,14,16.47,202,4,1,6,1,2,0,0,0,0,0,0,0,0,0
12548,Ruihang Xu,3.35,U' R U R' U' R' F R2 U' R' U' R U R' F',-0.95799638460455,28.4%,15,15.79,15,15.79,42,6,0,0,0,2,0,6,1,0,0,0,0,0,0
12547,Ruihang Xu,4.5,U F R U' R' U' R U R' F' R U R' U' R' F R F' U,-0.3798951180328385,24.4%,19,17.27,19,17.27,42,7,0,0,0,4,0,8,0,0,0,0,0,0,0
12543,Ruihang Xu,5.1,U U' F' U' F R2 u R' U R U' R u' R2',0.506526824043785,26.1%,14,10.53,14,10.53,42,5,0,0,0,2,0,3,2,0,0,0,0,0,0
12542,Ruihang Xu,4.48,U' R U R' U' R' F R2 U' R' U' R U R' F',0.5836069929200132,30.1%,15,11.11,15,11.11,42,6,0,0,0,2,0,6,1,0,0,0,0,0,0
12541,Ruihang Xu,4.75,U2' R2' U R U R' U' R3 U' R' U R',0.3138264018532145,26.9%,12,9.38,12,9.38,42,5,1,0,0,0,0,5,1,0,0,0,0,0,1
12540,Ruihang Xu,6.33,U2' R R' r U r' U' r' F r2 U' r' U' r U r' F',1.1617082594917238,23.7%,17,11.33,17,11.33,42,5,1,0,0,2,0,2,0,0,0,0,0,0,0
